metro,zip,pred_cat1,pred_cat2,pred_cat3,pred_cat4,sd_cat1,sd_cat2,sd_cat3,sd_cat4,ci_low_cat1,ci_low_cat2,ci_low_cat3,ci_low_cat4,ci_high_cat1,ci_high_cat2,ci_high_cat3,ci_high_cat4,effective_n,unique_zips
Portland,97221,72.97,75.8,78.85,82.7,2.98,2.59,2.36,2.2,69.0,72.3,76.1,80.0,79.8,81.4,83.0,86.9,21.46,28
Portland,97222,76.52,78.9,81.58,85.16,3.04,2.84,2.69,2.61,71.9,74.6,77.8,81.6,81.5,83.4,85.8,89.1,22.83,29
Portland,97223,77.09,79.48,82.17,85.8,2.93,2.77,2.67,2.68,72.7,75.7,79.0,82.5,81.7,83.9,86.2,89.8,23.81,30
Portland,97224,77.32,79.72,82.41,86.06,2.86,2.71,2.61,2.62,72.9,75.7,79.0,82.5,81.7,83.9,86.2,89.8,23.7,29
Portland,97225,77.32,80.06,83.01,86.76,2.01,1.86,1.84,1.86,72.4,75.7,79.0,82.8,81.1,83.2,86.0,89.8,17.24,21
Portland,97227,74.07,76.41,78.99,82.48,0.95,0.8,0.76,0.86,71.6,74.6,77.3,80.3,74.8,77.1,79.8,83.6,18.45,22
Portland,97229,75.8,78.59,81.58,85.34,1.93,1.79,1.74,1.75,71.7,74.9,78.1,81.8,77.7,81.6,83.9,87.5,16.23,21
Portland,97230,77.51,79.63,82.11,85.5,2.06,2.0,2.04,2.09,74.7,76.6,78.9,82.0,81.0,83.1,85.7,89.0,19.38,24
Portland,97231,73.39,76.25,79.33,83.1,1.55,1.43,1.42,1.46,71.3,74.2,77.5,81.3,76.0,79.2,82.5,86.4,19.92,25
Portland,97232,74.1,76.43,79.02,82.5,0.95,0.8,0.76,0.85,71.6,74.6,77.3,80.3,75.0,77.4,80.0,83.6,18.25,22
Portland,97233,74.78,76.84,79.18,82.46,1.63,1.61,1.61,1.64,73.2,75.1,77.3,80.3,79.5,81.0,82.9,85.7,18.05,22
Portland,97236,74.66,76.88,79.39,82.79,1.52,1.43,1.39,1.42,71.6,74.4,77.5,80.7,76.4,78.5,80.9,84.3,18.32,31
Portland,97239,75.03,77.79,80.73,84.48,2.07,1.92,1.85,1.88,71.4,74.6,77.8,81.6,77.2,79.7,82.9,87.4,14.66,26
Portland,97266,73.81,75.95,78.4,81.75,1.11,1.09,1.09,1.16,71.8,74.2,77.0,80.3,76.0,78.2,80.6,84.0,14.37,20
Portland,97267,76.31,78.61,81.17,84.66,1.55,1.63,1.71,1.81,74.5,76.6,79.0,82.3,78.8,81.2,83.9,87.5,14.37,23
